titulaire-soutien,titulaire-liste,count,orientation_label,keep_for_binary,notes
Union des indépendants;Union départementale d'opposition 93,non mentionné,1,right,yes,pré-rempli automatiquement
Union des indépendants,Objectif France,1,other,no,pré-rempli automatiquement
Union pour la démocratie française;Parti républicain;Centre national des indépendants et paysans;Comité central bonapartiste,non mentionné,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Parti républicain;Centre des démocrates sociaux;Parti social démocrate;Parti radical,non mentionné,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Parti républicain,Union pour la France,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Parti républicain,Opposition unie,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Parti radical;Parti républicain;Centre des démocrates sociaux;Clubs perspectives et réalités,Union de l'opposition,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Centre national des indépendants;non inscrits;Rassemblement pour la République,Union de l'opposition et défense du monde rural,1,right,yes,corrigé automatiquement : opposition de droite
Union pour la démocratie française;Centre national des indépendants et paysans,non mentionné,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Centre des démocrates sociaux;Parti radical;Parti républicain;Parti social démocrate;Clubs perspectives et réalités,Union de l'opposition,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française,Union pour le Cher et la France,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française,Union pour la France;Vouloir Cherbourg,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française,Union pour la France;Ensemble pour gagner,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française,Union de l'opposition républicaine,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française,Rassemblement pour la Creuse,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française,Energie nouvelle et union,1,right,yes,pré-rempli automatiquement
Union démocratique bretonne;Solidarité écologie gauche alternative,non mentionné,1,other,no,corrigé automatiquement : coalition écologiste mixte
Ligue communiste révolutionnaire;Alternative rouge et verte,non mentionné,1,left,yes,pré-rempli automatiquement
Génération écologie;Ecologie les Verts,Entente des écologistes,1,other,no,pré-rempli automatiquement
Génération verte,non mentionné,1,other,no,pré-rempli automatiquement
Groupement Thémis,non mentionné,1,other,no,pré-rempli automatiquement
France plus,Ensemble aujourd'hui,1,other,no,à revoir si besoin
France Planète 21,non mentionné,1,other,no,pré-rempli automatiquement
France 16,non mentionné,1,other,no,pré-rempli automatiquement
Forum progressiste;Solidarité écologie gauche alternative,non mentionné,1,other,no,corrigé automatiquement : coalition écologiste mixte
Esquerra republicana de Catalunya,non mentionné,1,other,no,pré-rempli automatiquement
Entente pour la démocratie et l'écologie en Normandie;Alliance pour l'écologie et la démocratie,Union pour l'écologie et la démocratie,1,other,no,pré-rempli automatiquement
Entente populaire indépendante,non mentionné,1,other,no,pré-rempli automatiquement
Ensemble aujourd'hui;France plus,non mentionné,1,other,no,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;Centre des démocrates sociaux,non mentionné,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République,Union pour la Vendée,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République,Union de l'opposition nationale,1,right,yes,corrigé automatiquement : opposition de droite
Union pour la démocratie française;Rassemblement pour la République,Opposition unie,1,right,yes,corrigé automatiquement : opposition de droite
Union pour la démocratie française;Rassemblement pour la République,Opposition,1,right,yes,corrigé automatiquement : opposition de droite
Verts associatifs,Ecologie pluraliste indépendante,1,other,no,pré-rempli automatiquement
Verts,Union des écologistes non inscrits,1,other,no,pré-rempli automatiquement
Verts,Union des écologistes indépendants,1,other,no,pré-rempli automatiquement
Urbains gogologistes,non mentionné,1,other,no,pré-rempli automatiquement
Unitat d'Oc,non mentionné,1,other,no,pré-rempli automatiquement
Union pour la démocratie française;Union des indépendants,Opposition,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Union des démocrates de progrès;Rassemblement pour la République;Mouvement solidarité participation;Union des jeunes pour le progrès;Femme avenir,Union en Normandie,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;non inscrits,non mentionné,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;centristes,non mentionné,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;Parti radical;Parti républicain;Centre des démocrates sociaux,Union pour la France,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;Mouvement France régions,non mentionné,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants;non inscrits,Union pour la France,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants;Union du centre;divers droite,Union pour la France,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants et paysans,Union pour la France,1,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;Centre des démocrates sociaux;Parti républicain;Parti radical;Parti social démocrate,non mentionné,1,right,yes,pré-rempli automatiquement
Génération écologie;Ecologie les Verts;PROMESSE;confédération A29;Pourquoi pas Le Havre,Entente des écologistes,1,other,no,pré-rempli automatiquement
aucun parti politique,Union de l'opposition,1,right,yes,pré-rempli automatiquement
aucun parti politique,Nouvelle majorité libérale,1,other,no,corrigé automatiquement : ambigu
aucun parti politique,Lorraine première,1,other,no,corrigé automatiquement : ambigu
aucun parti politique,France éclairée,1,other,no,corrigé automatiquement : ambigu
apolitiques,non mentionné,1,other,no,pré-rempli automatiquement
apolitique,non mentionné,1,other,no,corrigé automatiquement : ambigu
apolitique,Force verte,1,other,no,corrigé automatiquement : ambigu
Virage 93;Solidarité écologie gauche alternative;Alternative rouge et verte;Alternative démocratie socialisme,non mentionné,1,other,no,corrigé automatiquement : coalition écologiste mixte
Verts;Génération écologie;Gauche socialiste;Alternative rouge et verte;Alternative démocratie socialisme;Ligue communiste révolutionnaire;Refondations;Unir et agir pour Gagny,Entente des écologistes,1,other,no,corrigé automatiquement : coalition écologiste mixte
Verts;Génération écologie;Alternative rouge et verte;Union démocratique bretonne,Entente des écologistes,1,other,no,corrigé automatiquement : coalition écologiste mixte
Verts;Génération écologie;Alternative rouge et verte;Association des élus écologistes de l'Isère;Ecologie alternatives autogestion,Entente des écologistes,1,other,no,corrigé automatiquement : coalition écologiste mixte
Verts;Génération écologie,non mentionné,1,other,no,pré-rempli automatiquement
Verts;Alliance pour l'écologie et la démocratie,Union pour l'écologie et la démocratie,1,other,no,pré-rempli automatiquement
Verts indépendants,non mentionné,1,other,no,pré-rempli automatiquement
Verts autonomes,Ecologie politiquement indépendante,1,other,no,pré-rempli automatiquement
Verts associatifs,non mentionné,1,other,no,pré-rempli automatiquement
droite modérée,Union pour une future majorité parlementaire,1,right,yes,pré-rempli automatiquement
droite libérale et républicaine,non mentionné,1,right,yes,pré-rempli automatiquement
droite libérale démocratique,Union pour la France,1,right,yes,pré-rempli automatiquement
droite libérale,Convention économie qualité de vie,1,right,yes,pré-rempli automatiquement
droite indépendante,non mentionné,1,right,yes,pré-rempli automatiquement
droite démocratique,non mentionné,1,right,yes,pré-rempli automatiquement
droite autonome,non mentionné,1,right,yes,pré-rempli automatiquement
divers droite,Opposition,1,right,yes,corrigé automatiquement : opposition de droite
divers droite,Enjeu France,1,right,yes,pré-rempli automatiquement
communiste,Rassemblement des forces de progrès,1,left,yes,pré-rempli automatiquement
centriste;sans étiquette,non mentionné,1,other,no,pré-rempli automatiquement
centriste,Opposition modérée européenne et sociale,1,right,yes,pré-rempli automatiquement
centre,non mentionné,1,other,no,pré-rempli automatiquement
centre,Union nationale républicaine,1,other,no,pré-rempli automatiquement
aucune formation politique,non mentionné,1,other,no,corrigé automatiquement : ambigu
aucun parti politique;Rassemblement pour la République;Union des démocrates de progrès;Centre national des indépendants;Amicale gaulliste des Flandres;Femme avenir;Groupe opposition nouvelle génération,non mentionné,1,right,yes,pré-rempli automatiquement
indépendant,Rassemblement républicain radical pour le renouveau par des réformes réalistes,1,other,no,corrigé automatiquement : ambigu
indépendant,Rassemblement par le sport,1,other,no,corrigé automatiquement : ambigu
indépendant,Opposition indépendante,1,right,yes,pré-rempli automatiquement
indépendant,Nice fraternité,1,other,no,corrigé automatiquement : ambigu
indépendant,Humanisme et république,1,other,no,corrigé automatiquement : ambigu
indépendant,Combat pour les valeurs et pour la France,1,other,no,corrigé automatiquement : ambigu
hors des partis politiques;société civile,non mentionné,1,other,no,pré-rempli automatiquement
gaulliste;libre,non mentionné,1,right,yes,pré-rempli automatiquement
gaulliste;indépendant,non mentionné,1,right,yes,pré-rempli automatiquement
gaulliste,Réforme et renouveau,1,right,yes,pré-rempli automatiquement
gaulliste,Rassemblement de la droite,1,right,yes,pré-rempli automatiquement
gaulliste,Opposition nationale,1,right,yes,corrigé automatiquement : opposition de droite
gaulliste,Opposition,1,right,yes,corrigé automatiquement : opposition de droite
gauche;formation politique,non mentionné,1,left,yes,pré-rempli automatiquement
gauche,Union des citoyens,1,left,yes,pré-rempli automatiquement
droite;sans étiquette,Renouveau pour le Calvados,1,right,yes,pré-rempli automatiquement
En Calvados l'écologie n'est pas à vendre,Ecologistes ni à droite ni à gauche,1,other,no,corrigé automatiquement : ni droite ni gauche
Ecologie les Verts;Génération écologie;Autogestion écologie 85,Entente des écologistes,1,other,no,pré-rempli automatiquement
Ecologie les Verts;Génération écologie;Alternative rouge et verte,Entente des écologistes,1,other,no,corrigé automatiquement : coalition écologiste mixte
Ecologie les Verts;Génération écologie,non mentionné,1,other,no,pré-rempli automatiquement
Ecologie citoyenneté et laïcité;Ecologie 92;VRAIS écologistes;Cultures et laïcité;Association pour la culture bretonne;Cercle communautaire laïc juif;France Islam laïcité;AVEC;Montagne sans frontière;Alternative;Alliance pour l'écologie et la démocratie,Union pour l'écologie et la démocratie,1,other,no,pré-rempli automatiquement
Ecologie 92;Confédération syndicale du cadre de vie;Alternative;Initiatives 92;Ecologie citoyenneté et laïcité;Rencontres écologie et solidarités;Comité de soutien à la coopérative écologique;Dialogues-Cultures et identités;France cultures Islam et laïcité;Mouvement communautaire juif laïc;Ecologie et solidarités multiculturelles;Alliance pour l'écologie et la démocratie,non mentionné,1,other,no,pré-rempli automatiquement
Ecologie 92;Confédération syndicale du cadre de vie;Alternative;Initiatives 92;Ecologie citoyenneté et laïcité;Comité de soutien à la coopérative écologique;Dialogues-Cultures et identités;France cultures Islam et laïcité;Mouvement communautaire juif laïc;Ecologie et solidarités multiculturelles;Alliance pour l'écologie et la démocratie,non mentionné,1,other,no,pré-rempli automatiquement
Démocratie chrétienne française;Centre national des indépendants et paysans,non mentionné,1,right,yes,pré-rempli automatiquement
Démocratie chrétienne française,non mentionné,1,right,yes,corrigé automatiquement : démocratie chrétienne classée à droite
Démocrates de progrès,Union pour la France,1,right,yes,pré-rempli automatiquement
Démocrate de progrès;Agir;Parti socialiste;Mouvement des radicaux de gauche;Mouvement des réformateurs;Mouvement des démocrates;Club gardois des libéraux-sociaux;Solidarité environnement,non mentionné,1,left,yes,pré-rempli automatiquement
Coordination rurale;Chasse pêche nature traditions;UTILE;Union des indépendants,non mentionné,1,other,no,pré-rempli automatiquement
indépendant,Yvelines écologie,1,other,no,corrigé automatiquement : ambigu
indépendant,Un vrai libéralisme,1,other,no,corrigé automatiquement : ambigu
indépendant,Sos patrimoine économique du Finistère,1,other,no,corrigé automatiquement : ambigu
indépendant,Retz-Atlantique initiatives pour un pays,1,other,no,corrigé automatiquement : ambigu
libre;Parti des travailleurs,Unité et démocratie,1,left,yes,pré-rempli automatiquement
libre,Une politique de l'emploi,1,other,no,à revoir si besoin
indépendants;Centre chrétien populaire,non mentionné,1,other,no,pré-rempli automatiquement
indépendants,Union pour la Franche-Comté,1,other,no,pré-rempli automatiquement
indépendants,Sos patrimoine économique,1,other,no,pré-rempli automatiquement
indépendants,Opposition,1,right,yes,pré-rempli automatiquement
indépendants,93 au coeur,1,other,no,pré-rempli automatiquement
indépendant;écologiste,non mentionné,1,other,no,pré-rempli automatiquement
indépendant;sans étiquette,non mentionné,1,other,no,pré-rempli automatiquement
indépendant;hors des partis politiques,non mentionné,1,other,no,pré-rempli automatiquement
indépendant;hors des partis politiques,Agir pour une France libérale sociale et écologique,1,other,no,pré-rempli automatiquement
indépendant;gauche,non mentionné,1,left,yes,pré-rempli automatiquement
indépendant;centre droit,non mentionné,1,right,yes,corrigé automatiquement : centre droit agrégé à droite
indépendant;centre,non mentionné,1,other,no,pré-rempli automatiquement
indépendant;Chasse pêche nature traditions;Collectif aquitano-occitan pour le non à Maastricht,Action rurale,1,other,no,pré-rempli automatiquement
indépendant;Centre national des indépendants;Démocratie chrétienne française,non mentionné,1,right,yes,pré-rempli automatiquement
non mentionné,Alliance démocrate pour les Yvelines,1,other,no,corrigé automatiquement : ambigu
non mentionné,Alliance des forces de progrès pour la Corse,1,other,no,corrigé automatiquement : ambigu
non mentionné,Alliance des Français pour le progrès;Génération action,1,other,no,corrigé automatiquement : ambigu
non mentionné,Agir avec vous pour le Nord Cotentin,1,other,no,corrigé automatiquement : ambigu
non mentionné,Action régionale de défense des contribuables et des entreprises,1,other,no,corrigé automatiquement : ambigu
non mentionné,Action Mandelieu,1,other,no,corrigé automatiquement : ambigu
non mentionné,A gauche naturellement,1,left,yes,corrigé automatiquement : liste explicitement à gauche
non inscrits,non mentionné,1,other,no,corrigé automatiquement : ambigu
non inscrit,Union républicaine,1,other,no,corrigé automatiquement : ambigu
non inscrit,Alliance des forces de progrès,1,other,no,corrigé automatiquement : ambigu
libres,non mentionné,1,other,no,pré-rempli automatiquement
libre;sans étiquette,non mentionné,1,other,no,pré-rempli automatiquement
libre;indépendant,non mentionné,1,other,no,pré-rempli automatiquement
libre;indépendant,Oxygène,1,other,no,pré-rempli automatiquement
libre;divers droite,non mentionné,1,right,yes,pré-rempli automatiquement
libre;centre,non mentionné,1,other,no,pré-rempli automatiquement
non mentionné,Ecologie et citoyenneté,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie démocratie progrès,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie d'abord,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie active,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie République,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie 90,1,other,no,corrigé automatiquement : ambigu
non mentionné,Démocratie européenne,1,other,no,corrigé automatiquement : ambigu
non mentionné,Démocratie et progrès,1,other,no,corrigé automatiquement : ambigu
non mentionné,Dimension écologie,1,other,no,corrigé automatiquement : ambigu
non mentionné,Debout les Vosges,1,other,no,corrigé automatiquement : ambigu
non mentionné,DOM TOM,1,other,no,corrigé automatiquement : ambigu
non mentionné,Courage et partage,1,other,no,corrigé automatiquement : ambigu
non mentionné,Convaincre ensemble,1,other,no,corrigé automatiquement : ambigu
non mentionné,Citoyens responsables région Provence,1,other,no,corrigé automatiquement : ambigu
non mentionné,Candidature bizarre,1,other,no,corrigé automatiquement : ambigu
non mentionné,Bien vivre dans nos communes,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie solidarité démocratie,1,other,no,corrigé automatiquement : ambigu
Convergence,Convergence pour une vraie gauche,1,left,yes,pré-rempli automatiquement
Comité pour l'union du Loir-et-Cher;hors des partis politiques,non mentionné,1,other,no,pré-rempli automatiquement
Comité défense droits constitutionnels,Front social démocratique et républicain,1,other,no,à revoir si besoin
Collectif Vraiment à gauche,non mentionné,1,left,yes,pré-rempli automatiquement
Citoyens actifs,non mentionné,1,other,no,pré-rempli automatiquement
Chasse pêche nature traditions;Collectif du monde rural pour le non à Maastricht,Enjeu France,1,other,no,pré-rempli automatiquement
Centre national des indépendants;Rassemblement pour la République,non mentionné,1,right,yes,pré-rempli automatiquement
Centre national des indépendants et paysans;Démocratie chrétienne française,Union de l'opposition,1,right,yes,pré-rempli automatiquement
Centre des démocrates sociaux;Union pour la démocratie française;Rassemblement pour la République,Union pour la France,1,right,yes,pré-rempli automatiquement
Centre des démocrates sociaux;Union pour la démocratie française,non mentionné,1,right,yes,pré-rempli automatiquement
non mentionné,Ecologie nouvelle,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie libre,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie indépendante,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie humaniste réaliste libérale,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie et nature,1,other,no,corrigé automatiquement : ambigu
non mentionné,Moralpolitic,1,other,no,corrigé automatiquement : ambigu
non mentionné,Marseillais il faut se réveiller,1,other,no,corrigé automatiquement : ambigu
non mentionné,Justice paix sociale équité et retour aux valeurs qui ont fait de notre pays un grand pays,1,other,no,corrigé automatiquement : ambigu
non mentionné,Isère environnement solidarités,1,other,no,corrigé automatiquement : ambigu
non mentionné,Identité française,1,other,no,corrigé automatiquement : ambigu
non mentionné,Gestion verte,1,other,no,corrigé automatiquement : ambigu
non mentionné,Gard fraternité,1,other,no,corrigé automatiquement : ambigu
non mentionné,France unie,1,other,no,corrigé automatiquement : ambigu
non mentionné,France fiscalité faillite,1,other,no,corrigé automatiquement : ambigu
non mentionné,Espérance républicaine,1,other,no,corrigé automatiquement : ambigu
non mentionné,Entente Ecologiste,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ensemble pour un nouvel élan,1,other,no,corrigé automatiquement : ambigu
non mentionné,Energie radicale;Alliance des Français pour le progrès,1,other,no,corrigé automatiquement : ambigu
non mentionné,Energie Est,1,other,no,corrigé automatiquement : ambigu
non mentionné,Emploi solidarité écologie,1,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie;A gauche vraiment,1,left,yes,corrigé automatiquement : liste explicitement à gauche
non mentionné,Temps vert,1,other,no,corrigé automatiquement : ambigu
non mentionné,Socialisme et liberté,1,other,no,corrigé automatiquement : ambigu
non mentionné,Réagir librement,1,other,no,corrigé automatiquement : ambigu
non mentionné,Renouveau économique social et politique pour la France,1,other,no,corrigé automatiquement : ambigu
non mentionné,Refondation pour changer à gauche,1,left,yes,corrigé automatiquement : liste explicitement à gauche
non mentionné,Rassemblement pour se défendre et changer,1,other,no,corrigé automatiquement : ambigu
non mentionné,Rassemblement des sociaux démocrates,1,other,no,corrigé automatiquement : ambigu
non mentionné,Rassemblement des forces de progrès,1,other,no,corrigé automatiquement : ambigu
non mentionné,Rassemblement des citoyens pour le progrès,1,other,no,corrigé automatiquement : ambigu
non mentionné,Rassemblement des Français de progrès,1,other,no,corrigé automatiquement : ambigu
non mentionné,Progrès et solidarité,1,other,no,corrigé automatiquement : ambigu
non mentionné,Priorité à l'écologie,1,other,no,corrigé automatiquement : ambigu
non mentionné,Oxygéner la gauche,1,left,yes,corrigé automatiquement : liste explicitement à gauche
non mentionné,Opposition républicaine,1,right,yes,pré-rempli automatiquement
non mentionné,Ni de gauche ni de droite,1,other,no,corrigé automatiquement : ni gauche ni droite
non mentionné,Mouvement pour la sixième République,1,other,no,corrigé automatiquement : ambigu
non mentionné,Vote blanc suffrage exprimé,1,other,no,corrigé automatiquement : ambigu
socialistes;divers gauche;Radicaux de gauche,non mentionné,1,left,yes,pré-rempli automatiquement
Agir,non mentionné,1,other,no,pré-rempli automatiquement
non mentionné,Valeurs socialistes,1,other,no,corrigé automatiquement : ambigu
non mentionné,Utopia,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union écologistes Hauts-de-Seine,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union écologiste,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union républicaine pour l'Eure-et-Loir,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union pour le Bergeracois,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union pour la démocratie libérale,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union pour la Creuse,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union pour Lyon,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union nationale les bleus,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union et renouveau pour la circonscription de Thiers Ambert,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union des écologistes indépendants,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union des républicains de progrès,1,other,no,corrigé automatiquement : ambigu
Parti communiste français;Alternative rouge et verte;Refondations;Convergences et démocratie;Espoirs 93;Alternative démocratie socialisme,non mentionné,1,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement pour une autre politique,1,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement pour se défendre et changer,1,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement des progressistes et des forces de gauche,1,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement des forces progressistes et changement,1,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement des forces de progrès pour se défendre et pour changer,1,left,yes,pré-rempli automatiquement
socialistes,Progrès et solidarité,1,left,yes,pré-rempli automatiquement
sans étiquette;hors des partis politiques,non mentionné,1,other,no,pré-rempli automatiquement
sans étiquette;apolitique,non mentionné,1,other,no,pré-rempli automatiquement
sans étiquette,Opposition nationale,1,right,yes,pré-rempli automatiquement
sans étiquette,Elémentairement vôtre,1,other,no,corrigé automatiquement : ambigu
sans étiquette,Au coeur,1,other,no,corrigé automatiquement : ambigu
sans parti politique,non mentionné,1,other,no,pré-rempli automatiquement
sans parti politique,Une écologie indépendante à l'Assemblée,1,other,no,pré-rempli automatiquement
sans appartenance politique,non mentionné,1,other,no,pré-rempli automatiquement
progressistes,non mentionné,1,other,no,pré-rempli automatiquement
