titulaire-soutien,titulaire-liste,count,orientation_label,keep_for_binary,notes
indépendant;Chasse pêche nature traditions;Collectif aquitano-occitan pour le non à Maastricht,Action rurale,1,,,
indépendant;Centre national des indépendants;Démocratie chrétienne française,non mentionné,1,,,
non mentionné,Alliance démocrate pour les Yvelines,1,,,
non mentionné,Alliance des forces de progrès pour la Corse,1,,,
non mentionné,Alliance des Français pour le progrès;Génération action,1,,,
non mentionné,Agir avec vous pour le Nord Cotentin,1,,,
non mentionné,Action régionale de défense des contribuables et des entreprises,1,,,
non mentionné,Action Mandelieu,1,,,
non mentionné,A gauche naturellement,1,,,
non inscrits,non mentionné,1,,,
non inscrit,Union républicaine,1,,,
non inscrit,Alliance des forces de progrès,1,,,
libres,non mentionné,1,,,
libre;sans étiquette,non mentionné,1,,,
libre;indépendant,non mentionné,1,,,
libre;indépendant,Oxygène,1,,,
libre;divers droite,non mentionné,1,,,
libre;centre,non mentionné,1,,,
non mentionné,Ecologie et citoyenneté,1,,,
non mentionné,Ecologie démocratie progrès,1,,,
non mentionné,Ecologie d'abord,1,,,
non mentionné,Ecologie active,1,,,
non mentionné,Ecologie République,1,,,
non mentionné,Ecologie 90,1,,,
non mentionné,Démocratie européenne,1,,,
non mentionné,Démocratie et progrès,1,,,
non mentionné,Dimension écologie,1,,,
non mentionné,Debout les Vosges,1,,,
non mentionné,DOM TOM,1,,,
non mentionné,Courage et partage,1,,,
non mentionné,Convaincre ensemble,1,,,
non mentionné,Citoyens responsables région Provence,1,,,
non mentionné,Candidature bizarre,1,,,
non mentionné,Bien vivre dans nos communes,1,,,
non mentionné,Ecologie solidarité démocratie,1,,,
Convergence,Convergence pour une vraie gauche,1,,,
Comité pour l'union du Loir-et-Cher;hors des partis politiques,non mentionné,1,,,
Comité défense droits constitutionnels,Front social démocratique et républicain,1,,,
Collectif Vraiment à gauche,non mentionné,1,,,
Citoyens actifs,non mentionné,1,,,
Chasse pêche nature traditions;Collectif du monde rural pour le non à Maastricht,Enjeu France,1,,,
Centre national des indépendants;Rassemblement pour la République,non mentionné,1,,,
Centre national des indépendants et paysans;Démocratie chrétienne française,Union de l'opposition,1,,,
Centre des démocrates sociaux;Union pour la démocratie française;Rassemblement pour la République,Union pour la France,1,,,
Centre des démocrates sociaux;Union pour la démocratie française,non mentionné,1,,,
non mentionné,Ecologie nouvelle,1,,,
non mentionné,Ecologie libre,1,,,
non mentionné,Ecologie indépendante,1,,,
non mentionné,Ecologie humaniste réaliste libérale,1,,,
non mentionné,Ecologie et nature,1,,,
non mentionné,Moralpolitic,1,,,
non mentionné,Marseillais il faut se réveiller,1,,,
non mentionné,Justice paix sociale équité et retour aux valeurs qui ont fait de notre pays un grand pays,1,,,
non mentionné,Isère environnement solidarités,1,,,
non mentionné,Identité française,1,,,
non mentionné,Gestion verte,1,,,
non mentionné,Gard fraternité,1,,,
non mentionné,France unie,1,,,
non mentionné,France fiscalité faillite,1,,,
non mentionné,Espérance républicaine,1,,,
non mentionné,Entente Ecologiste,1,,,
non mentionné,Ensemble pour un nouvel élan,1,,,
non mentionné,Energie radicale;Alliance des Français pour le progrès,1,,,
non mentionné,Energie Est,1,,,
non mentionné,Emploi solidarité écologie,1,,,
non mentionné,Ecologie;A gauche vraiment,1,,,
non mentionné,Temps vert,1,,,
non mentionné,Socialisme et liberté,1,,,
non mentionné,Réagir librement,1,,,
non mentionné,Renouveau économique social et politique pour la France,1,,,
non mentionné,Refondation pour changer à gauche,1,,,
non mentionné,Rassemblement pour se défendre et changer,1,,,
non mentionné,Rassemblement des sociaux démocrates,1,,,
non mentionné,Rassemblement des forces de progrès,1,,,
non mentionné,Rassemblement des citoyens pour le progrès,1,,,
non mentionné,Rassemblement des Français de progrès,1,,,
non mentionné,Progrès et solidarité,1,,,
non mentionné,Priorité à l'écologie,1,,,
non mentionné,Oxygéner la gauche,1,,,
non mentionné,Opposition républicaine,1,,,
non mentionné,Ni de gauche ni de droite,1,,,
non mentionné,Mouvement pour la sixième République,1,,,
non mentionné,Vote blanc suffrage exprimé,1,,,
socialistes;divers gauche;Radicaux de gauche,non mentionné,1,,,
Agir,non mentionné,1,,,
non mentionné,Valeurs socialistes,1,,,
non mentionné,Utopia,1,,,
non mentionné,Union écologistes Hauts-de-Seine,1,,,
non mentionné,Union écologiste,1,,,
non mentionné,Union républicaine pour l'Eure-et-Loir,1,,,
non mentionné,Union pour le Bergeracois,1,,,
non mentionné,Union pour la démocratie libérale,1,,,
non mentionné,Union pour la Creuse,1,,,
non mentionné,Union pour Lyon,1,,,
non mentionné,Union nationale les bleus,1,,,
non mentionné,Union et renouveau pour la circonscription de Thiers Ambert,1,,,
non mentionné,Union des écologistes indépendants,1,,,
non mentionné,Union des républicains de progrès,1,,,
Parti communiste français;Alternative rouge et verte;Refondations;Convergences et démocratie;Espoirs 93;Alternative démocratie socialisme,non mentionné,1,,,
Parti communiste français,Rassemblement pour une autre politique,1,,,
Parti communiste français,Rassemblement pour se défendre et changer,1,,,
Parti communiste français,Rassemblement des progressistes et des forces de gauche,1,,,
Parti communiste français,Rassemblement des forces progressistes et changement,1,,,
Parti communiste français,Rassemblement des forces de progrès pour se défendre et pour changer,1,,,
socialistes,Progrès et solidarité,1,,,
sans étiquette;hors des partis politiques,non mentionné,1,,,
sans étiquette;apolitique,non mentionné,1,,,
sans étiquette,Opposition nationale,1,,,
sans étiquette,Elémentairement vôtre,1,,,
sans étiquette,Au coeur,1,,,
sans parti politique,non mentionné,1,,,
sans parti politique,Une écologie indépendante à l'Assemblée,1,,,
sans appartenance politique,non mentionné,1,,,
progressistes,non mentionné,1,,,
